author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
John Guzzetta,Will Shortz,Normal,2018-05-19,Saturday,6,Daily,15135,,4,0,False,,
Will Nediger,Will Shortz,Normal,2018-05-20,Sunday,0,Daily,15136,"Rhymes, Schmymes",10,0,False,,
Hannah Slovut,Will Shortz,Normal,2018-05-21,Monday,1,Daily,15208,,3,89,False,,1288
Jeff Stillman,Will Shortz,Normal,2018-05-22,Tuesday,2,Daily,15207,,4,100,True,,2062
David Steinberg,Will Shortz,Normal,2018-05-23,Wednesday,3,Daily,15202,,3,100,True,,2113
Erik Agard and Andy Kravis,Will Shortz,Normal,2018-05-24,Thursday,4,Daily,15203,,3,0,False,,
Jeff Chen,Will Shortz,Normal,2018-05-25,Friday,5,Daily,15204,,3,0,False,,
Peter Wentz,Will Shortz,Normal,2018-05-26,Saturday,6,Daily,15206,,4,0,False,,
Andrew Chaikin,Will Shortz,Normal,2018-05-27,Sunday,0,Daily,15205,21,8,0,False,,
Alex Eaton-Salners,Will Shortz,Normal,2018-05-28,Monday,1,Daily,15221,,5,100,True,,1822
John Lieb,Will Shortz,Normal,2018-05-29,Tuesday,2,Daily,15224,,4,100,True,,1830
Jeff Chen and Sande Milton,Will Shortz,Normal,2018-05-30,Wednesday,3,Daily,15223,,7,0,False,,
Dominick Talvacchio,Will Shortz,Normal,2018-05-31,Thursday,4,Daily,15227,,4,0,False,,
Andrew J. Ries,Will Shortz,Normal,2018-06-01,Friday,5,Daily,15225,,5,0,False,,
Trenton Charlson,Will Shortz,Normal,2018-06-02,Saturday,6,Daily,15222,,3,0,False,,
David J. Kahn,Will Shortz,Normal,2018-06-03,Sunday,0,Daily,15226,Proving Them Wrong,7,0,False,,
Zhouqin Burnikel,Will Shortz,Normal,2018-06-04,Monday,1,Daily,15259,,4,100,True,Gold,1346
Peter Gordon,Will Shortz,Normal,2018-06-05,Tuesday,2,Daily,15255,,7,100,True,,2388
Richard F. Mausser,Will Shortz,Normal,2018-06-06,Wednesday,3,Daily,15256,,6,100,True,,2271
Bruce Haight,Will Shortz,Normal,2018-06-07,Thursday,4,Daily,15254,,4,33,False,,882
Caleb Madison,Will Shortz,Normal,2018-06-08,Friday,5,Daily,15253,,5,0,False,,51
Roland Huget,Will Shortz,Normal,2018-06-09,Saturday,6,Daily,15258,,3,0,False,,
Ruth Bloomfield Margolin,Will Shortz,Normal,2018-06-10,Sunday,0,Daily,15257,Rush Hour Headaches,19,0,False,,
Gary Cee,Will Shortz,Normal,2018-06-11,Monday,1,Daily,15291,,8,100,True,,1156
Tracy Gray and Samuel A. Donaldson,Will Shortz,Normal,2018-06-12,Tuesday,2,Daily,15288,,3,100,True,,2103
Michael Hawkins,Will Shortz,Normal,2018-06-13,Wednesday,3,Daily,15289,,3,100,True,,2186
Joe Krozel,Will Shortz,Normal,2018-06-14,Thursday,4,Daily,15287,,4,54,False,,792
Sam Ezersky,Will Shortz,Normal,2018-06-15,Friday,5,Daily,15290,,3,0,False,,
Sam Trabucco,Will Shortz,Normal,2018-06-16,Saturday,6,Daily,15285,,4,0,False,,
Erik Agard and Amanda Chung and  Karl Ni,Will Shortz,Normal,2018-06-17,Sunday,0,Daily,15286,Tricky Trios,8,0,False,,
Ross Trudeau,Will Shortz,Normal,2018-06-18,Monday,1,Daily,15313,,3,100,True,Gold,1036
Peter Gordon,Will Shortz,Normal,2018-06-19,Tuesday,2,Daily,15312,,3,100,True,,1729
Jeffrey Wechsler,Will Shortz,Normal,2018-06-20,Wednesday,3,Daily,15307,,4,100,True,,2017
David Steinberg and Milo Beckman,Will Shortz,Normal,2018-06-21,Thursday,4,Daily,15304,,9,24,False,,510
Andrew Kingsley,Will Shortz,Normal,2018-06-22,Friday,5,Daily,15308,,4,2,False,,132
Byron Walden,Will Shortz,Normal,2018-06-23,Saturday,6,Daily,15310,,3,0,False,,
